epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.3588901849691718,0.3398,2.4023791408352357,2.0242497260128256
2,0.36660001110925955,0.34513333333333335,2.096128723945984,1.9834230281650893
3,0.3791923568294173,0.3546666666666667,2.0468514021969417,1.9587822822111247
4,0.3844248180858746,0.3546,2.0257557517389704,1.9367495338037324
5,0.38618008109759483,0.3604,2.007967609169218,1.9363215831297038
6,0.39124590346053434,0.36193333333333333,2.00063802553503,1.9411940894909758
7,0.3853413320002222,0.36083333333333334,1.996849513079321,1.9300332712466275
8,0.3900516580569905,0.3598,1.9867969583541187,1.9382542981776094
9,0.3964894739765595,0.3637,1.985829322396586,1.9251424414770943
10,0.3885685719046826,0.3593,1.9825856112687985,1.9424046778729729
11,0.39529522857301563,0.36273333333333335,1.9841479614371724,1.9279969452794936
12,0.39340109981669724,0.36246666666666666,1.9807342929938405,1.9373638607037347
13,0.3904738099205688,0.36046666666666666,1.9782082645485422,1.9538042202178858
14,0.38401377548186416,0.3541666666666667,1.9798803654083186,1.9623813509686923
15,0.39200688774093206,0.3638,1.9780926552269749,1.951414617648257
16,0.390162750652669,0.3609,1.9802515691512428,1.944744386906817
17,0.3933233349997223,0.3640333333333333,1.9782239466513598,1.9413674027680843
18,0.39079597844803643,0.3614,1.9743898450544284,1.944034330880464
19,0.3964172637893684,0.36233333333333334,1.9738512442623048,1.9364406940525274
20,0.39396211742487364,0.3637,1.9758851153546282,1.9344985807882442
