epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.3719546742209632,0.36438333333333334,2.642273928574129,1.9758301170141712
2,0.4339193467755374,0.41581666666666667,1.9550598274546926,1.7687992927616338
3,0.4609231794700883,0.43278333333333335,1.8004771494331455,1.6905100007555378
4,0.48288896295061934,0.444,1.7157535023677404,1.6441710699341698
5,0.4971449202910626,0.45125,1.6529142531558707,1.6071125284186814
6,0.5115647392101317,0.4598333333333333,1.6066661691733455,1.5891586876373047
7,0.5209715047492085,0.4619666666666667,1.5672610558270137,1.5777005193584255
8,0.5325584624784758,0.46513333333333334,1.535264863096604,1.5640794849599093
9,0.5414264289285119,0.46858333333333335,1.5049833469953648,1.5535255040187064
10,0.5472948952952286,0.4670166666666667,1.4834560024496757,1.5502628006660608
11,0.5560545464644782,0.46928333333333333,1.459813571467842,1.551116413780367
12,0.5623007276565017,0.4716166666666667,1.44054896431888,1.5463765610509843
13,0.5649697272676776,0.4703333333333333,1.4231270927150521,1.5467048179366187
14,0.5708659667833139,0.4709,1.409596563105985,1.543789377090519
15,0.5728211964672555,0.46813333333333335,1.3952733531694925,1.5466116341446507
16,0.5793228906293395,0.46576666666666666,1.38192790047452,1.5484757286144981
17,0.5824529245125812,0.46931666666666666,1.3707045325171765,1.5494446790040428
18,0.5895406321168694,0.47123333333333334,1.3596328066584482,1.5471100694080915
