epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.09345109148475254,0.09436666666666667,3.7251409699752474,3.4336313298408023
2,0.12777870354940843,0.12356666666666667,3.5035389137335846,3.3126492084340846
3,0.13683830472698993,0.13326666666666667,3.441751854421403,3.2517336520742863
4,0.142087429872799,0.137,3.4003997909827866,3.215852170294904
5,0.15145809031828028,0.14663333333333334,3.3778379932734333,3.183928268513781
6,0.16008998500249957,0.15256666666666666,3.3574108375923464,3.1607120706679974
7,0.16373937677053824,0.1572,3.341713001478964,3.143394491520334
8,0.1680553241126479,0.15943333333333334,3.3289806795357473,3.124749958768804
9,0.17067710937066044,0.16306666666666667,3.31757400657746,3.109790172982723
10,0.17492640115536298,0.16763333333333333,3.3091519619440812,3.0930917892050234
11,0.17677053824362607,0.16893333333333332,3.299744168324257,3.0840106609019826
12,0.17714269843914904,0.16956666666666667,3.2930730980342386,3.0752820309172284
13,0.17943676053991,0.17036666666666667,3.2854188639133133,3.0677022335377147
14,0.18145864578125867,0.17276666666666668,3.2793360996856364,3.061614445422558
15,0.183874909737266,0.17466666666666666,3.2761746786465946,3.054425922353217
16,0.1847858690218297,0.1755,3.2705691863902513,3.0493533195333278
17,0.18430817086041215,0.1752,3.2667790933458534,3.0447095394134522
18,0.18562461811920236,0.17606666666666668,3.26461660616264,3.0410442372585864
19,0.1868799644503694,0.17836666666666667,3.258541728557215,3.0312644217876676
20,0.18800755429650615,0.17843333333333333,3.256454622313412,3.0301294580419014
