epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.15166361162028552,0.1479,3.5268681864409728,3.232494004229282
2,0.19992223518302504,0.1895,3.1608381047686027,2.9699587903124223
3,0.2370049436205077,0.2208,2.989204291002752,2.7973840023608916
4,0.2647780925401322,0.24363333333333334,2.8761105403547687,2.671286490622987
5,0.284024884741432,0.2592,2.7943642876549823,2.5755362591844926
6,0.2984335944009332,0.27,2.733277155138028,2.506081387337218
7,0.3080986502249625,0.2775666666666667,2.6902063372462206,2.451854958432786
8,0.3198578014775315,0.28546666666666665,2.6539872223041376,2.4051661491394043
9,0.3258790201633061,0.2920333333333333,2.624292197427431,2.3703365914365078
10,0.3344220407709826,0.2981333333333333,2.6012700124251222,2.342367478634449
11,0.3407987557629284,0.3045,2.5789051166051826,2.3145453524082265
12,0.3454424262622896,0.3089,2.5661378718473085,2.2947699617832265
13,0.3496694995278565,0.3108,2.546214979255801,2.2758606378068316
14,0.35221351996889405,0.31443333333333334,2.5355427161801685,2.2641676623770532
15,0.35723490529356217,0.3145,2.5243990521271686,2.2501555209464215
16,0.3580569905015831,0.31516666666666665,2.514738512276417,2.2474116330451155
17,0.36220074432039107,0.3165,2.501938383208155,2.2297861332589006
18,0.3670999277898128,0.32203333333333334,2.492142989437209,2.2207401656089947
19,0.3682830639337888,0.3224666666666667,2.4845265569463213,2.2076538649011166
20,0.3690607121035383,0.32313333333333333,2.472926265564724,2.2010195306006897
