Historique d'entraînement - MLP_512_256_Dropout_Gridsearch_Tanh
============================================================
Date: 2026-01-08 12:39:34
Optimizer: Adam
Learning Rate: 0.01
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.1485 (14.85%)
Meilleure loss dev: 3.3123
Temps total d'entraînement: 699.24 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1218       0.1196       3.7900       3.5650      
2        0.1274       0.1237       3.6865       3.4981      
3        0.1258       0.1217       3.6534       3.5391      
4        0.1338       0.1291       3.6265       3.5043      
5        0.1345       0.1302       3.6096       3.4706      
6        0.1391       0.1348       3.5869       3.4440      
7        0.1411       0.1345       3.5764       3.4252      
8        0.1449       0.1402       3.5666       3.3932      
9        0.1443       0.1392       3.5573       3.3884      
10       0.1417       0.1378       3.5505       3.4011      
11       0.1414       0.1357       3.5462       3.4121      
12       0.1481       0.1396       3.5416       3.3848      
13       0.1498       0.1416       3.5298       3.3612      
14       0.1508       0.1439       3.5254       3.3757      
15       0.1502       0.1432       3.5148       3.3776      
16       0.1496       0.1417       3.5136       3.3334      
17       0.1495       0.1430       3.5052       3.3471      
18       0.1524       0.1439       3.5016       3.3582      
19       0.1565       0.1485       3.4978       3.3123      
20       0.1566       0.1483       3.4953       3.3235      
