epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.44053491084819196,0.435925,1.8734287990186294,1.572787330094685
2,0.4752513469977226,0.4654,1.576047610524622,1.4718192528559964
3,0.49276023440537686,0.47884166666666667,1.5017487045882056,1.4247287093703427
4,0.5057643170582681,0.48835416666666664,1.456417226977845,1.3920224634314906
5,0.5127159362328501,0.49228333333333335,1.424189616194663,1.3741435834339686
6,0.5215644614786424,0.4988916666666667,1.4024090134203329,1.3567575389134097
7,0.5267663722712881,0.5010208333333334,1.3839612331968416,1.347855610506875
8,0.5313725490196078,0.5046,1.3704643330665571,1.3382680682993646
9,0.5357905626839972,0.5068958333333333,1.3583179857228262,1.3315899814369836
10,0.5388976837193801,0.5083125,1.3485371178043215,1.3250641871108684
11,0.5412625673498861,0.5099041666666667,1.339525843086168,1.323110590992706
12,0.5432823696050658,0.5117041666666666,1.332273285032124,1.3175904743198648
13,0.545631978003666,0.5129208333333334,1.3259731056085906,1.3132927047926735
14,0.5477309337332666,0.5132416666666667,1.320725328444248,1.3107710454001356
15,0.5496882464033772,0.5143125,1.314571650075692,1.3082168442862374
16,0.5510213575515192,0.5153833333333333,1.3104339240922056,1.3055545307679979
17,0.5525773482197411,0.5163375,1.3068861433970644,1.3053099213124337
18,0.5528252235738488,0.5162583333333334,1.3024487892716032,1.3051081564126492
19,0.5531112870077209,0.5149625,1.2988297400040598,1.3053912417466706
20,0.5552630117202688,0.5165333333333333,1.2949949886677659,1.3018327349030387
