Historique d'entraînement - MLP_256_128_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-08 02:16:31
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 15
Époques complétées: 20
Meilleure accuracy dev: 0.1745 (17.45%)
Meilleure loss dev: 3.0513
Temps total d'entraînement: 710.22 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1471       0.1401       3.4735       3.2315      
2        0.1645       0.1552       3.3466       3.1599      
3        0.1699       0.1639       3.3083       3.1302      
4        0.1727       0.1634       3.2862       3.1053      
5        0.1761       0.1659       3.2729       3.0869      
6        0.1747       0.1648       3.2638       3.0868      
7        0.1789       0.1674       3.2526       3.0740      
8        0.1778       0.1699       3.2496       3.0586      
9        0.1762       0.1673       3.2482       3.0599      
10       0.1750       0.1678       3.2434       3.0573      
11       0.1782       0.1692       3.2406       3.0480      
12       0.1780       0.1693       3.2382       3.0517      
13       0.1781       0.1704       3.2336       3.0542      
14       0.1796       0.1705       3.2332       3.0524      
15       0.1823       0.1745       3.2317       3.0513      
16       0.1788       0.1688       3.2312       3.0487      
17       0.1812       0.1725       3.2312       3.0431      
18       0.1814       0.1701       3.2308       3.0494      
19       0.1826       0.1710       3.2280       3.0339      
20       0.1810       0.1735       3.2296       3.0349      
