model,learning_rate,optimizer,dropout,batch_size,best_epoch,training_time,num_parameters,train_accuracy,dev_accuracy,train_loss,dev_loss,accuracy_diff_pct,loss_diff_pct,timestamp
CNN_32_64_Dropout_Gridsearch_Tanh,0.005,Adam,0.2,64,15,1065.939593076706,281024,0.17986446703327225,0.17726666666666666,2.9415671595720223,2.9454044767025946,1.4443099348383448,0.1304514540178182,2026-01-09 10:10:47
CNN_32_Dropout_Gridsearch_Tanh,0.005,Adam,0.1,64,6,498.38739562034607,131456,0.20320502138532467,0.20013333333333333,2.8780747271923253,2.912016565611622,1.5116201514364644,1.1793244316629765,2026-01-09 07:30:09
CNN_64_128_Dropout_Gridsearch_Relu,0.005,Adam,0.2,128,14,594.9309930801392,598848,0.2957451535855135,0.2910333333333333,2.1345971086470894,2.149218329977482,1.5932028623481045,0.6849639808450609,2026-01-09 18:29:00
CNN_64_128_Dropout_Gridsearch_Relu,0.01,Adam,0.1,128,7,376.44683623313904,598848,0.3158806865522413,0.3106333333333333,1.9397094404773672,1.9430806631737567,1.661182035591193,0.1738003963913223,2026-01-09 18:09:31
CNN_32_64_128_Dropout_Gridsearch_Tanh,0.001,Adam,0.2,64,8,924.5304660797119,617024,0.29591179247903127,0.2899,2.179751051052838,2.1945584148232107,2.0316163910423675,0.6793144457125344,2026-01-09 12:57:59
CNN_32_64_128_Dropout_Gridsearch_Tanh,0.001,Adam,0.1,64,20,1318.525696516037,617024,0.31603066155640724,0.30883333333333335,2.115654461967788,2.1518963628740453,2.2774145355479276,1.7130349760682668,2026-01-09 12:06:11
CNN_64_128_Dropout_Gridsearch_Relu,0.01,Adam,0.2,64,8,766.4242823123932,598848,0.3346220074432039,0.3268,1.9507869080720828,1.9627392454696362,2.3375651538793614,0.6126931315817384,2026-01-09 03:57:59
CNN_32_64_Dropout_Gridsearch_Tanh,0.001,Adam,0.2,64,7,694.006453037262,281024,0.32149086263400545,0.3139,2.0852669208362524,2.1165942314591235,2.3611441307577983,1.5023165768297866,2026-01-09 09:52:42
CNN_32_64_Dropout_Gridsearch_Tanh,0.01,Adam,0.1,64,1,376.5541558265686,281024,0.07698161417541521,0.07513333333333333,4.002499900760915,3.9899722797784216,2.400938018616073,-0.3129949105085988,2026-01-09 09:40:50
CNN_64_Dropout_Gridsearch_Tanh,0.001,Adam,0.2,64,20,826.7911913394928,262848,0.30906515580736543,0.30123333333333335,2.216895424510252,2.2485004826141064,2.534036052551168,1.4256449697367466,2026-01-09 08:50:08
CNN_32_Dropout_Gridsearch_Tanh,0.001,Adam,0.2,64,8,582.309045791626,131456,0.31100927623173913,0.30273333333333335,2.2280209092029337,2.26036374401182,2.660995517136668,1.4516396446412554,2026-01-09 07:45:08
CNN_64_128_256_Dropout_Gridsearch_Relu,0.01,Adam,0.2,128,7,459.5537691116333,1418304,0.28944620341054267,0.28126666666666666,2.308119311261533,2.335714437606487,2.825926423458514,1.195567586576423,2026-01-09 20:26:36
CNN_64_128_256_Dropout_Gridsearch_Relu,0.01,Adam,0.1,128,6,423.3180024623871,1418304,0.3142642892851191,0.30466666666666664,2.0941970397499157,2.1202677914436827,3.0539972073457426,1.2449044287103166,2026-01-09 20:00:39
