epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.2093262234072099,0.19306666666666666,3.1792164280978854,2.917392551138046
2,0.2632561239793368,0.23223333333333335,2.834355543756112,2.747734463468511
3,0.30057212686774426,0.2548666666666667,2.670705063256628,2.657276179942679
4,0.32424040437704826,0.26593333333333335,2.550554667200361,2.596409740853817
5,0.34929178470254957,0.2781666666666667,2.4522947569476345,2.5536220672282766
6,0.3675887352107982,0.28596666666666665,2.369967334475514,2.5372517869827593
7,0.38270288285285786,0.2935333333333333,2.3061261715919477,2.5133116590215803
8,0.39724490362717324,0.2985333333333333,2.2445219855996505,2.5188554966703376
9,0.4090429372882297,0.2996,2.1985568860446465,2.513451310421558
10,0.4220796533911015,0.3063,2.1551831599745923,2.5279919385910032
11,0.4276342831750264,0.3080333333333333,2.1190478694125447,2.5235366070524177
12,0.43797144920291065,0.30716666666666664,2.084598884314786,2.5450796791847714
13,0.4428428595234128,0.3065333333333333,2.048216416213897,2.564669788137395
14,0.45148030883741597,0.30716666666666664,2.0261798237093647,2.564903530668705
15,0.45889573959895574,0.3088666666666667,1.998569228671168,2.5833440466130035
16,0.46409487307670944,0.3097,1.9784584605448112,2.5932151895888307
17,0.464278175859579,0.31033333333333335,1.9566352137794034,2.6037364787243784
18,0.47389324001555294,0.31053333333333333,1.932384830293879,2.6078149846259584
19,0.4788090873743265,0.3103,1.9241643649259186,2.62525304631984
20,0.48268066433372214,0.3123,1.9050911448911818,2.6294178917052897
