Historique d'entraînement - LSTMHiddenState_Dropout_Relu_Gridsearch_256
============================================================
Date: 2026-01-07 21:22:32
Optimizer: Adam
Learning Rate: 0.01
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.3222 (32.22%)
Meilleure loss dev: 2.2316
Temps total d'entraînement: 1244.44 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.2268       0.2096       3.1137       2.8314      
2        0.2661       0.2433       2.8185       2.6569      
3        0.2899       0.2629       2.6888       2.5511      
4        0.3039       0.2727       2.5989       2.4846      
5        0.3139       0.2808       2.5378       2.4278      
6        0.3257       0.2934       2.4913       2.3835      
7        0.3313       0.2968       2.4490       2.3545      
8        0.3394       0.3027       2.4153       2.3240      
9        0.3450       0.3017       2.3933       2.3089      
10       0.3482       0.3075       2.3664       2.2915      
11       0.3529       0.3076       2.3502       2.2848      
12       0.3553       0.3106       2.3344       2.2682      
13       0.3568       0.3139       2.3246       2.2654      
14       0.3623       0.3156       2.3185       2.2552      
15       0.3606       0.3166       2.3075       2.2516      
16       0.3614       0.3144       2.3014       2.2581      
17       0.3626       0.3179       2.2934       2.2385      
18       0.3645       0.3176       2.2834       2.2437      
19       0.3686       0.3222       2.2803       2.2316      
20       0.3674       0.3199       2.2762       2.2509      
