epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.1238460256623896,0.1151,4.091796742912145,4.0714379469553625
2,0.14950841526412265,0.13706666666666667,4.057791910673442,4.049310239156087
3,0.16672776759428984,0.15196666666666667,4.03735982083878,4.034459702173868
4,0.17857023829361773,0.15916666666666668,4.0233251388053155,4.027019770940145
5,0.188535244125979,0.16576666666666667,4.012955716442203,4.020315941174825
6,0.19923901571960229,0.17456666666666668,4.004777844262585,4.012328513463339
7,0.20420485474643116,0.17766666666666667,3.9978491513682863,4.008667635917663
8,0.20972615675165251,0.17926666666666666,3.991768296735769,4.006447728474935
9,0.2137810364939177,0.18323333333333333,3.987442363332183,4.003531579176585
10,0.2209242903960451,0.18766666666666668,3.982493900526263,3.998540524641673
11,0.22695661834138756,0.18993333333333334,3.9772534469488257,3.995731445153554
12,0.23178359162361828,0.19553333333333334,3.973035608302193,3.9913921912511188
13,0.2370104982502916,0.19736666666666666,3.9683986813077636,3.989208424091339
14,0.2396156196189524,0.20006666666666667,3.9656490368195847,3.9858721494674683
15,0.24237627062156308,0.20093333333333332,3.9617406397314943,3.9857268571853637
16,0.24493695495195245,0.20326666666666668,3.959354046639313,3.983321253458659
17,0.24874187635394102,0.20296666666666666,3.9554973579839987,3.983545887470245
18,0.2516136199522302,0.20363333333333333,3.9532708058396864,3.982750689983368
19,0.2544298172526801,0.20663333333333334,3.951484734992241,3.9801283915837606
20,0.2572626784424818,0.20676666666666665,3.9488091415975894,3.9791748483975726
