Historique d'entraînement - MLP_256_128_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-08 19:54:27
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.2697 (26.97%)
Meilleure loss dev: 2.5032
Temps total d'entraînement: 384.74 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1343       0.1328       3.5296       3.2157      
2        0.1710       0.1644       3.2397       3.0816      
3        0.1881       0.1797       3.1527       2.9954      
4        0.2042       0.1931       3.0920       2.9283      
5        0.2177       0.2055       3.0419       2.8741      
6        0.2281       0.2134       3.0043       2.8289      
7        0.2365       0.2214       2.9686       2.7872      
8        0.2444       0.2275       2.9413       2.7560      
9        0.2504       0.2343       2.9159       2.7200      
10       0.2564       0.2360       2.8964       2.6958      
11       0.2612       0.2411       2.8725       2.6682      
12       0.2661       0.2450       2.8573       2.6408      
13       0.2697       0.2499       2.8415       2.6183      
14       0.2753       0.2537       2.8274       2.6013      
15       0.2776       0.2565       2.8089       2.5829      
16       0.2799       0.2603       2.7962       2.5619      
17       0.2846       0.2626       2.7843       2.5457      
18       0.2863       0.2629       2.7736       2.5299      
19       0.2876       0.2674       2.7619       2.5197      
20       0.2918       0.2697       2.7518       2.5032      
