epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.19813364439260123,0.1922,3.2371163022543574,2.9210735686281892
2,0.2360273287785369,0.22036666666666666,2.9283188275606307,2.7690011714367158
3,0.25680164417041607,0.24053333333333332,2.813101366723609,2.6837062115364887
4,0.27007165472421263,0.25103333333333333,2.7435223164927813,2.628840322697416
5,0.28003110592679,0.25703333333333334,2.6941893839548055,2.5888768155524073
6,0.28712992279064603,0.2638333333333333,2.6580005641007305,2.5635937061715635
7,0.2930567127700939,0.2675,2.629349086160938,2.5445924647310947
8,0.2976392823418319,0.27093333333333336,2.6051771347626103,2.5325896719668775
9,0.3018441370882631,0.2729333333333333,2.5872270996551947,2.5118238621569695
10,0.3050213853246681,0.27623333333333333,2.5703470113858655,2.4960495948791506
11,0.30996500583236125,0.27876666666666666,2.556280318438456,2.4894266899595867
12,0.3110759317891463,0.27823333333333333,2.5468388918705163,2.481534103637046
13,0.314275398544687,0.2834333333333333,2.536740044456216,2.474943129559781
14,0.31538632450147197,0.28076666666666666,2.5249225407012745,2.466851282119751
15,0.3188468588568572,0.2830666666666667,2.5159126720957157,2.4630926852530624
16,0.32197411542520693,0.28683333333333333,2.5067000683945126,2.4545485009538366
17,0.3221851913569961,0.2872,2.501601668224321,2.452733947875652
18,0.3225517969227351,0.2876,2.4949464686135494,2.447275246965124
19,0.3251624729211798,0.2861666666666667,2.490535771668847,2.444779033863798
20,0.3249125145809032,0.29233333333333333,2.486092394433635,2.4346578699477175
