Historique d'entraînement - MLP_256_Dropout_Gridsearch_Tanh
============================================================
Date: 2026-01-08 09:15:09
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.3171 (31.71%)
Meilleure loss dev: 2.2591
Temps total d'entraînement: 523.34 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1060       0.1035       3.6784       3.5643      
2        0.1217       0.1201       3.4918       3.3683      
3        0.1354       0.1315       3.3427       3.2305      
4        0.1597       0.1534       3.2466       3.1316      
5        0.1808       0.1760       3.1706       3.0358      
6        0.2072       0.1983       3.0909       2.9377      
7        0.2299       0.2202       3.0148       2.8414      
8        0.2504       0.2401       2.9486       2.7601      
9        0.2630       0.2528       2.8912       2.6873      
10       0.2792       0.2651       2.8416       2.6225      
11       0.2894       0.2745       2.7897       2.5591      
12       0.3006       0.2827       2.7507       2.5039      
13       0.3095       0.2883       2.7096       2.4538      
14       0.3186       0.2951       2.6775       2.4123      
15       0.3226       0.2988       2.6476       2.3787      
16       0.3286       0.3029       2.6229       2.3487      
17       0.3339       0.3066       2.5977       2.3209      
18       0.3382       0.3106       2.5817       2.2979      
19       0.3434       0.3147       2.5639       2.2769      
20       0.3449       0.3171       2.5426       2.2591      
