epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.1561684163750486,0.15173333333333333,3.4614913705908497,3.161993505599651
2,0.18241404210409376,0.1749,3.194517337267672,3.023287716317684
3,0.20049436205076931,0.1919,3.1062968205965067,2.9389414898892667
4,0.21715269677276008,0.20473333333333332,3.045910175082187,2.8744275032205784
5,0.22960617674831973,0.21666666666666667,2.999357520390167,2.8204712847445874
6,0.23996000666555575,0.22686666666666666,2.9609089150188153,2.7729023243518585
7,0.24832527912014665,0.23166666666666666,2.928196418853033,2.7322355584895357
8,0.25729045159140146,0.24013333333333334,2.8986996365677995,2.6916330824507044
9,0.2645559073487752,0.2464,2.873902391184283,2.6582687144583845
10,0.2664389268455257,0.24726666666666666,2.8546262522835044,2.634773288889134
11,0.2729933899905571,0.25526666666666664,2.8377906096769547,2.6123581632654718
12,0.2770482697328223,0.25683333333333336,2.8196049732948416,2.5893414050974743
13,0.28154751985780146,0.2597333333333333,2.8062323505520905,2.5675438424374195
14,0.28297505971227016,0.2603,2.7904614004244936,2.5564087096680987
15,0.2862578459145698,0.2627,2.777773527871995,2.5368542559603426
16,0.28731878020329943,0.26356666666666667,2.7681163031748195,2.524908425960135
17,0.28908515247458755,0.26753333333333335,2.756096338666578,2.5076637136175277
18,0.29224573682164084,0.26886666666666664,2.7441951993008242,2.4951033369023747
19,0.296006221185358,0.2748333333333333,2.7375867331205908,2.4802594032693417
20,0.2970338276953841,0.2756,2.7274447139815905,2.4665497313154505
