Historique d'entraînement - CNN_32_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-09 16:12:10
Optimizer: Adam
Learning Rate: 0.01
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.3785 (37.85%)
Meilleure loss dev: 1.8924
Temps total d'entraînement: 440.77 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.3614       0.3434       2.3910       2.0028      
2        0.3822       0.3580       2.0611       1.9323      
3        0.3916       0.3614       1.9936       1.9137      
4        0.4006       0.3681       1.9643       1.8882      
5        0.4019       0.3687       1.9435       1.8916      
6        0.4014       0.3663       1.9269       1.8973      
7        0.4049       0.3709       1.9178       1.8921      
8        0.4069       0.3734       1.9087       1.8863      
9        0.4117       0.3747       1.8986       1.8865      
10       0.4091       0.3708       1.8962       1.8917      
11       0.4103       0.3725       1.8894       1.8864      
12       0.4119       0.3735       1.8876       1.8838      
13       0.4157       0.3766       1.8837       1.8851      
14       0.4123       0.3710       1.8825       1.8952      
15       0.4174       0.3751       1.8806       1.8890      
16       0.4073       0.3711       1.8784       1.8987      
17       0.4167       0.3769       1.8777       1.8837      
18       0.4158       0.3760       1.8734       1.8855      
19       0.4135       0.3747       1.8733       1.8924      
20       0.4199       0.3785       1.8756       1.8924      
