Historique d'entraînement - LSTMHiddenState_Dropout_Relu_Gridsearch_256
============================================================
Date: 2026-01-08 11:25:48
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 12
Époques complétées: 18
Meilleure accuracy dev: 0.3650 (36.50%)
Meilleure loss dev: 2.0145
Temps total d'entraînement: 574.88 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1985       0.1851       3.2438       2.9169      
2        0.2695       0.2441       2.7711       2.6098      
3        0.3206       0.2807       2.5180       2.4031      
4        0.3625       0.3064       2.3203       2.2446      
5        0.3934       0.3288       2.1666       2.1327      
6        0.4225       0.3449       2.0498       2.0626      
7        0.4422       0.3515       1.9588       2.0230      
8        0.4625       0.3568       1.8870       2.0040      
9        0.4812       0.3593       1.8217       1.9952      
10       0.4968       0.3629       1.7704       1.9940      
11       0.5112       0.3628       1.7199       2.0052      
12       0.5263       0.3650       1.6743       2.0145      
13       0.5409       0.3603       1.6310       2.0396      
14       0.5521       0.3608       1.5935       2.0617      
15       0.5630       0.3605       1.5566       2.0846      
16       0.5743       0.3602       1.5195       2.1178      
17       0.5873       0.3615       1.4861       2.1479      
18       0.5995       0.3607       1.4523       2.1764      
