epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.1591790257179359,0.14953333333333332,3.3574476135310842,3.0858221652659963
2,0.23309448425262455,0.202,2.9262074709108052,2.8296625269220232
3,0.2897294895295229,0.2308,2.696081944196548,2.7102353816336775
4,0.34149863911570294,0.2511,2.504194001738027,2.651235288254758
5,0.3820529911681386,0.26376666666666665,2.332069665892546,2.653091925763069
6,0.41893017830361606,0.27086666666666664,2.1833200210701427,2.6676436708328573
7,0.452069099594512,0.27286666666666665,2.0532207132317786,2.7145225890139315
8,0.48030883741598623,0.27463333333333334,1.9363722523307665,2.752358290489684
9,0.5090818196967172,0.2755666666666667,1.8311892613164906,2.820194114522731
10,0.5331444759206799,0.2778,1.7410286620058062,2.912396735333382
11,0.5544909181803033,0.2786,1.6605106740024975,2.9735510247818966
12,0.5700272176859412,0.2803333333333333,1.5960074113715008,3.0289915003675096
13,0.5859301227573183,0.28346666666666664,1.5398423571322264,3.0623922520495475
14,0.5975837360439926,0.28003333333333336,1.494470120323577,3.121396764795831
15,0.612203521635283,0.28213333333333335,1.4534920594670202,3.174084058721015
16,0.6171971338110315,0.2813,1.4131883359074,3.216113650545161
17,0.628400822085208,0.2818333333333333,1.3782993828733507,3.2885688812174694
18,0.6373882130755986,0.28526666666666667,1.349790998825217,3.3445931404194935
19,0.6497639282341832,0.2849,1.3249074284201745,3.3606320289855307
20,0.6536021774148753,0.285,1.2960947483417915,3.3798989498868903
