Historique d'entraînement - MLP_64_Dropout_Gridsearch_Tanh
============================================================
Date: 2026-01-08 08:40:23
Optimizer: Adam
Learning Rate: 0.01
Meilleure époque: 13
Époques complétées: 19
Meilleure accuracy dev: 0.2058 (20.58%)
Meilleure loss dev: 2.9457
Temps total d'entraînement: 496.69 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1303       0.1299       3.6312       3.3415      
2        0.1573       0.1573       3.4238       3.1917      
3        0.1763       0.1694       3.3457       3.1114      
4        0.1849       0.1821       3.2943       3.0628      
5        0.1894       0.1858       3.2635       3.0231      
6        0.1963       0.1929       3.2450       3.0052      
7        0.2006       0.1971       3.2313       2.9915      
8        0.2013       0.1968       3.2167       2.9775      
9        0.2041       0.2005       3.2109       2.9637      
10       0.2055       0.2021       3.2036       2.9547      
11       0.2065       0.1994       3.1981       2.9572      
12       0.2105       0.2045       3.1938       2.9440      
13       0.2090       0.2058       3.1877       2.9457      
14       0.2037       0.1968       3.1886       2.9448      
15       0.2029       0.1982       3.1880       2.9514      
16       0.2088       0.2021       3.1845       2.9397      
17       0.2097       0.2009       3.1832       2.9367      
18       0.2046       0.2007       3.1773       2.9367      
19       0.2132       0.2049       3.1744       2.9309      
