timestamp,model_name,optimizer,learning_rate,best_epoch,epochs_completed,best_dev_accuracy,best_dev_loss,total_training_time_sec
2026-01-07 22:59:41,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.005,9,15,0.33366666666666667,2.493651814298081,1070.92
2026-01-07 23:05:04,MLP_64_Dropout_Gridsearch_Relu,Adam,0.005,13,19,0.2126,2.8044754393557283,502.7
2026-01-07 23:13:50,MLP_64_Dropout_Gridsearch_Relu,Adam,0.01,19,20,0.18003333333333332,2.9017287619570467,526.19
2026-01-07 23:22:40,MLP_64_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.2074,2.9024625818780128,529.97
2026-01-07 23:23:52,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.01,19,20,0.28176666666666667,2.574635749432578,1429.18
2026-01-07 23:31:03,MLP_64_Dropout_Gridsearch_Relu,Adam,0.005,13,19,0.19156666666666666,2.91162764671001,503.12
2026-01-07 23:37:14,MLP_64_Dropout_Gridsearch_Relu,Adam,0.01,8,14,0.16133333333333333,3.050336422818772,370.61
2026-01-07 23:40:28,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.001,6,12,0.28713333333333335,2.672389323523304,974.52
2026-01-07 23:45:59,MLP_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.35223333333333334,1.975418856803407,525.66
2026-01-07 23:54:47,MLP_256_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.33466666666666667,2.066004057640725,527.63
2026-01-08 00:01:49,MLP_256_Dropout_Gridsearch_Relu,Adam,0.01,10,16,0.28846666666666665,2.311307377003609,422.29
2026-01-08 00:07:56,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.005,18,20,0.2700666666666667,2.8432676830271415,1624.28
2026-01-08 00:10:41,MLP_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.33476666666666666,2.0687631916492544,531.93
2026-01-08 00:19:28,MLP_256_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.3146,2.146625305236654,527.01
2026-01-08 00:28:16,MLP_256_Dropout_Gridsearch_Relu,Adam,0.01,18,20,0.26903333333333335,2.413108399573793,527.86
2026-01-08 00:35:22,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.01,17,20,0.1302,3.234909297052477,1622.41
