Historique d'entraînement - LSTMHiddenState_Dropout_Tanh_Gridsearch_256
============================================================
Date: 2026-01-08 05:34:53
Optimizer: Adam
Learning Rate: 0.01
Meilleure époque: 18
Époques complétées: 20
Meilleure accuracy dev: 0.3424 (34.24%)
Meilleure loss dev: 2.2417
Temps total d'entraînement: 1208.60 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.2452       0.2237       3.0777       2.7631      
2        0.3056       0.2773       2.7350       2.5174      
3        0.3323       0.2949       2.5733       2.4161      
4        0.3490       0.3082       2.4780       2.3569      
5        0.3655       0.3161       2.4125       2.3083      
6        0.3723       0.3224       2.3616       2.2915      
7        0.3807       0.3289       2.3304       2.2549      
8        0.3880       0.3290       2.2985       2.2412      
9        0.3946       0.3316       2.2812       2.2310      
10       0.3945       0.3337       2.2569       2.2339      
11       0.3973       0.3351       2.2415       2.2182      
12       0.4044       0.3394       2.2280       2.2320      
13       0.4067       0.3392       2.2143       2.2205      
14       0.4052       0.3403       2.2145       2.2282      
15       0.4102       0.3382       2.2014       2.2363      
16       0.4097       0.3405       2.1934       2.2472      
17       0.4102       0.3384       2.1955       2.2269      
18       0.4127       0.3424       2.1860       2.2417      
19       0.4104       0.3399       2.1882       2.2358      
20       0.4107       0.3369       2.1871       2.2349      
