Historique d'entraînement - LSTMHiddenState_Dropout_Tanh_Gridsearch_64
============================================================
Date: 2026-01-08 02:33:45
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.3381 (33.81%)
Meilleure loss dev: 2.2564
Temps total d'entraînement: 1176.80 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.2277       0.2166       3.1127       2.8175      
2        0.2913       0.2693       2.7419       2.5869      
3        0.3180       0.2931       2.5910       2.4753      
4        0.3350       0.3076       2.5062       2.4011      
5        0.3456       0.3145       2.4500       2.3621      
6        0.3515       0.3199       2.4127       2.3386      
7        0.3594       0.3235       2.3838       2.3174      
8        0.3653       0.3295       2.3660       2.3003      
9        0.3685       0.3310       2.3468       2.2886      
10       0.3720       0.3307       2.3303       2.2811      
11       0.3765       0.3338       2.3227       2.2673      
12       0.3787       0.3318       2.3084       2.2746      
13       0.3812       0.3351       2.3032       2.2651      
14       0.3826       0.3353       2.2965       2.2642      
15       0.3839       0.3353       2.2870       2.2591      
16       0.3852       0.3371       2.2819       2.2651      
17       0.3850       0.3342       2.2770       2.2626      
18       0.3874       0.3379       2.2719       2.2592      
19       0.3877       0.3381       2.2659       2.2564      
20       0.3882       0.3355       2.2648       2.2529      
