Historique d'entraînement - MLP_64_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-07 21:48:52
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.2236 (22.36%)
Meilleure loss dev: 2.7969
Temps total d'entraînement: 933.43 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1226       0.1196       3.5927       3.2988      
2        0.1472       0.1427       3.3566       3.2003      
3        0.1622       0.1580       3.2968       3.1326      
4        0.1792       0.1712       3.2507       3.0763      
5        0.1878       0.1814       3.2169       3.0271      
6        0.1965       0.1905       3.1894       2.9894      
7        0.1999       0.1938       3.1660       2.9567      
8        0.2044       0.1966       3.1500       2.9314      
9        0.2091       0.2010       3.1346       2.9132      
10       0.2123       0.2025       3.1244       2.8978      
11       0.2163       0.2072       3.1120       2.8815      
12       0.2171       0.2074       3.1063       2.8705      
13       0.2211       0.2108       3.0998       2.8591      
14       0.2221       0.2123       3.0916       2.8477      
15       0.2220       0.2118       3.0839       2.8341      
16       0.2250       0.2173       3.0791       2.8258      
17       0.2260       0.2191       3.0697       2.8137      
18       0.2281       0.2204       3.0641       2.8050      
19       0.2295       0.2236       3.0576       2.7969      
20       0.2302       0.2223       3.0525       2.7889      
