epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.2263011720268844,0.2044,3.1406849205027934,2.8640877054092733
2,0.2803032827862023,0.23916666666666667,2.759403371438119,2.6986056064037567
3,0.32380714325390214,0.2616,2.576126171327603,2.5862457062335724
4,0.3589346220074432,0.2783,2.4376748944311677,2.539185862845563
5,0.3857468199744487,0.28746666666666665,2.324916175009938,2.518200943317819
6,0.40743764928067544,0.2921,2.2318481712707325,2.5021771121532357
7,0.4215964005999,0.29533333333333334,2.158459739729116,2.5141289213870435
8,0.4438093651058157,0.29806666666666665,2.091516573969659,2.5224509168178475
9,0.45659056823862687,0.3026,2.030025594439503,2.551636860218454
10,0.47103260567683164,0.3027666666666667,1.9814306101056813,2.573066066173797
11,0.48399155696272844,0.30546666666666666,1.9337780135865743,2.5933690512433967
12,0.4944842526245626,0.3046333333333333,1.904280685582056,2.622508125102266
13,0.5049491751374771,0.30883333333333335,1.8653689726244582,2.6400048539993612
14,0.5095872910070544,0.3067,1.8297722795455271,2.65644411837801
15,0.5250791534744209,0.306,1.797876459364359,2.671275829761586
16,0.5261734155418542,0.3066,1.7633205318417038,2.7044450059850167
17,0.5379825584624784,0.3098666666666667,1.7470876632553514,2.722334663918678
18,0.5380992056879409,0.30933333333333335,1.720420918400269,2.767181151978513
19,0.5498194745320224,0.3068,1.7074462816744047,2.778806613353973
20,0.5543853802144088,0.30966666666666665,1.687266097394134,2.7847633290798104
