Historique d'entraînement - LSTMHiddenState_Dropout_Relu_Gridsearch_64
============================================================
Date: 2026-01-08 18:10:15
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.2718 (27.18%)
Meilleure loss dev: 2.5482
Temps total d'entraînement: 412.28 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1190       0.1160       3.5603       3.2899      
2        0.1576       0.1505       3.2185       3.1167      
3        0.1834       0.1741       3.0790       2.9963      
4        0.2043       0.1939       2.9799       2.9118      
5        0.2178       0.2038       2.9100       2.8513      
6        0.2268       0.2121       2.8551       2.8051      
7        0.2382       0.2220       2.8104       2.7644      
8        0.2467       0.2284       2.7724       2.7305      
9        0.2548       0.2357       2.7413       2.7031      
10       0.2603       0.2388       2.7146       2.6779      
11       0.2680       0.2466       2.6882       2.6561      
12       0.2732       0.2513       2.6642       2.6379      
13       0.2771       0.2549       2.6453       2.6188      
14       0.2816       0.2585       2.6269       2.6051      
15       0.2847       0.2601       2.6094       2.5927      
16       0.2879       0.2631       2.5945       2.5797      
17       0.2919       0.2674       2.5796       2.5694      
18       0.2948       0.2684       2.5645       2.5595      
19       0.2986       0.2718       2.5543       2.5482      
20       0.2993       0.2717       2.5433       2.5408      
