Historique d'entraînement - LSTMHiddenState_Dropout_Tanh_Gridsearch_64
============================================================
Date: 2026-01-08 03:33:28
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.3310 (33.10%)
Meilleure loss dev: 2.2825
Temps total d'entraînement: 1178.47 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.2145       0.2026       3.1523       2.8639      
2        0.2689       0.2488       2.8532       2.6760      
3        0.2985       0.2772       2.7190       2.5570      
4        0.3175       0.2920       2.6431       2.4895      
5        0.3276       0.2997       2.5872       2.4445      
6        0.3369       0.3071       2.5452       2.4029      
7        0.3429       0.3120       2.5126       2.3763      
8        0.3470       0.3127       2.4904       2.3666      
9        0.3529       0.3151       2.4711       2.3430      
10       0.3587       0.3188       2.4547       2.3309      
11       0.3636       0.3220       2.4409       2.3164      
12       0.3652       0.3243       2.4254       2.3103      
13       0.3681       0.3257       2.4173       2.3077      
14       0.3695       0.3254       2.4100       2.3038      
15       0.3703       0.3265       2.4020       2.2904      
16       0.3724       0.3280       2.3952       2.2922      
17       0.3737       0.3292       2.3883       2.2878      
18       0.3751       0.3270       2.3826       2.2886      
19       0.3747       0.3258       2.3781       2.2864      
20       0.3774       0.3310       2.3727       2.2825      
