Historique d'entraînement - CNN_32_64_128_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-09 19:10:47
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.4362 (43.62%)
Meilleure loss dev: 1.6747
Temps total d'entraînement: 730.81 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4193       0.3895       2.2571       1.7498      
2        0.4697       0.4126       1.7575       1.6624      
3        0.4994       0.4242       1.6335       1.6285      
4        0.5167       0.4269       1.5523       1.6207      
5        0.5278       0.4276       1.4905       1.6411      
6        0.5243       0.4236       1.4413       1.6947      
7        0.5379       0.4236       1.4014       1.6789      
8        0.5580       0.4296       1.3653       1.6527      
9        0.5719       0.4345       1.3335       1.6487      
10       0.5812       0.4342       1.3084       1.6438      
11       0.5862       0.4340       1.2875       1.6441      
12       0.5915       0.4356       1.2678       1.6441      
13       0.5954       0.4332       1.2498       1.6637      
14       0.6007       0.4351       1.2339       1.6644      
15       0.6041       0.4360       1.2148       1.6682      
16       0.6037       0.4345       1.2024       1.6918      
17       0.6080       0.4334       1.1899       1.6823      
18       0.6166       0.4351       1.1775       1.6801      
19       0.6171       0.4357       1.1638       1.6890      
20       0.6244       0.4362       1.1575       1.6747      
