epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.10791534744209298,0.1029,3.6225988476854227,3.3435843427130516
2,0.13511636949397324,0.1301,3.3900137615271637,3.234210952799371
3,0.14955840693217798,0.1401,3.322442949962006,3.1773701962004317
4,0.15807365439093485,0.1483,3.280860390659758,3.13584624046975
5,0.16468366383380548,0.15256666666666666,3.2517608720187017,3.1137385561111124
6,0.1690384935844026,0.1577,3.230827452192598,3.0855532007014497
7,0.17217685941232017,0.1623,3.2173306730171425,3.0674883669995245
8,0.18008665222462922,0.16726666666666667,3.1984093397665125,3.0480775163528766
9,0.18489140698772427,0.1717,3.186579481455648,3.0315199709953147
10,0.18634116536132866,0.17116666666666666,3.1743790688206306,3.0169367627894625
11,0.18927400988724102,0.17486666666666667,3.167585147892912,3.007262931986058
12,0.19326223407209908,0.17636666666666667,3.160221548222784,3.0058202500038957
13,0.19584513692162417,0.18033333333333335,3.1516617669564404,2.9924536613707846
14,0.1981725268010887,0.18086666666666668,3.145599287286581,2.9823926215476178
15,0.20177192690107204,0.18393333333333334,3.1390412318088012,2.9769068312137685
16,0.20146086763317225,0.1847,3.1340819928522388,2.974742098057524
17,0.2043048380825418,0.1874,3.1270443517092534,2.9617735669967975
18,0.20574904182636228,0.18713333333333335,3.1245309405065886,2.961388264311121
19,0.2063822696217297,0.18913333333333332,3.116571014793358,2.9563381245795717
20,0.21038160306615564,0.19126666666666667,3.1104303367102326,2.9472890813299952
